title	date	dept	dept_top
보험 판매채널 책임성 강화방안	2025.01.22	금융위원회 보험과	금융위원회
폐기물 매립시설 관리체계 선진화 방안	2025.01.22	환경부 자원순환국 폐자원관리과	환경부
2025년 10대 생명과학(바이오) 미래 유망기술 선정	2025.01.21	과학기술정보통신부 연구개발정책실 기초원천연구정책관 첨단바이오기술과	과학기술정보통신부
2025 관세청 주요업무 추진계획	2025.01.21	관세청	관세청
2025년 설 연휴 특별교통대책	2025.01.21	국토교통부 교통물류실 종합교통정책관 교통정책총괄과	국토교통부
IPO 및 상장폐지 제도개선 방안	2025.01.21	금융위원회 자본시장과	금융위원회
제1차 스마트농업 육성 기본계획 (2025~2029)	2025.01.21	농식품혁신정책관실 스마트농업정책과	농식품혁신정책관실
2025년 식약처 주요 정책 추진계획	2025.01.21	식품의약품안전처 기획조정관 기획재정담당관	식품의약품안전처
2025년 특허청 주요업무 추진계획	2025.01.21	특허청	특허청
공매도 통합 가이드라인(안)	2025.01.20	금융감독원	금융감독원
2025년 성인 문해교육 지원사업 기본계획	2025.01.16	교육부 인재정책실 평생직업교육정책관 평생학습지원과	교육부
통화정책방향 : 기준금리 3.00% 유지	2025.01.16	한국은행 통화정책국 정책총괄팀	한국은행
알뜰폰 경쟁력 강화 방안	2025.01.15	과학기술정보통신부 통신정책국 통신정책기획과	과학기술정보통신부
국정현안관계장관회의 겸 경제관계장관회의 겸 산업경쟁력강화관계장관회의	2025.01.15	기획재정부 정책조정국 정책조정총괄과	기획재정부
겨울철 복지위기가구 발굴·지원 대책	2025.01.15	보건복지부 사회복지정책실 복지정책관 복지정책과	보건복지부
친환경차·이차전지 경쟁력 강화 방안	2025.01.15	산업통상자원부 산업정책실 제조산업정책관 자동차과	산업통상자원부
제약바이오벤처 혁신생태계 조성방안	2025.01.15	중소벤처기업부 창업벤처혁신실 특구혁신기획단 특구정책과	중소벤처기업부
2025년 학술연구지원사업 종합계획	2025.01.14	교육부 인재정책실 인재정책기획관 학술연구정책과	교육부
제3차 연구개발(R&D) 중장기 계획	2025.01.14	농림축산식품부 농림축산검역본부 연구기획과	농림축산식품부
2025년 재기지원사업·사회안전망 정책방향	2025.01.14	중소벤처기업부 소상공인경영안전지원단 소상공인재도약과	중소벤처기업부
해양수산부 2025년 주요업무 추진계획	2025.01.14	해양수산부 기획조정실 기획재정담당관	해양수산부
2025년 과학기술정보통신부 업무계획	2025.01.13	과학기술정보통신부 기획조정실 기획재정담당관	과학기술정보통신부
2025년도 국토교통부 주요업무 추진계획	2025.01.13	국토교통부 기획조정실 기획담당관	국토교통부
2025년 농림축산식품부 주요 업무계획	2025.01.13	농림축산식품부 정책기획관 기획재정담당관	농림축산식품부
고용노동부 2025년 주요 업무계획	2025.01.10	고용노동부 기획조정실 정책기획관 기획재정담당관	고용노동부
2025년 교육부 주요업무 추진계획	2025.01.10	교육부 정책기획관 기획담당관	교육부
2025년 보건복지부 주요업무 추진계획	2025.01.10	보건복지부 기획조정실 정책기획관 기획조정담당관	보건복지부
2025년 환경부 주요정책 추진계획	2025.01.10	환경부 기획조정실 기획재정담당관	환경부
굴 양식산업 발전방안	2025.01.09	해양수산부 수산정책실 어촌양식정책관 양식산업과	해양수산부
금융위원회 2025년 업무계획	2025.01.08	금융위원회 금융정책과	금융위원회
2025년 산업통상자원부 주요업무 추진계획	2025.01.08	산업통상자원부 산업정책실 산업정책관 산업정책과	산업통상자원부
2025년 중소벤처기업부 업무계획	2025.01.08	중소벤처기업부 중소기업정책실 중소기업전략기획관 전략총괄과	중소벤처기업부
2025년도 과학기술정보통신부 연구개발사업 종합시행계획	2025.01.02	과학기술정보통신부 기초연구정책관 연구개발정책과	과학기술정보통신부
2025년도 경제정책방향	2025.01.02	기획재정부 경제정책국 종합정책과	기획재정부
외환시장 연장시간대 거래 활성화 방안	2025.01.02	기획재정부 국제금융국 국제금융과	기획재정부
WGBI 투자 인프라 개선방안	2025.01.02	기획재정부 국제금융국 외환제도과	기획재정부
제3차 녹색건축물 기본계획(2025~2029)	2024.12.31	국토교통부 국토도시실 건축정책관 녹색건축과	국토교통부
2025년부터 달라지는 금융제도	2024.12.31	금융위원회 금융정책국 금융정책과	금융위원회
회계·감사 지배구조 우수기업에 대한 주기적 지정 유예방안	2024.12.31	금융위원회 자본시장국 회계제도팀	금융위원회
