TITLE	PUBLISHER	REG_DATE
국가재정정보시스템&#40;NAFIS&#41; 구축	재정경제부 국고국 회계제도과	20010625
1992년 해외증권 발행제도 운영방안	재무부 증권국 증권제도과	19920131
국내 금융기관의 해외진출 지원방안	재정경제부 금융정책국 금융허브협력과 	20070425
G20 서울 정상상회의 금융분야 후속조치 추진	금융위원회 금융정책국 금융정책과	20110107
해외증권투자 제한 완화	재무부 국제금융국 외환정책과	19930330
국제·국내행사 재정관리 강화방안	기획재정부 예산실 예산관리과	20130912
1993년 외국증권회사의 국내진출 허용	재무부 증권국 증권정책과	19930805
금융허브 구축을 위한 금융인프라 해외수출전략	재정경제부 금융정책국 금융허브협력과 	20060627
한 · 미 양국간 통화스왑 체결	기획재정부 국제금융국 국제금융과	20081030
중국인민은행과 통화스왑계약 체결	한국은행 국제국 외환운영팀 	20020624
단기금융시장 개방계획	재정경제원 금융정책실 금융정책과	19980209
장년층 고용안정 및 자영업자 대책	기획재정부 인력정책과	20140924
한·중 통화스왑자금 위안화 유동성 공급제도 도입	한국은행	20150626
해외 프로젝트 수주 확대를 위한 금융조달 여건 개선방안	기획재정부 대외경제국 국제경제과 	20110810
일본은행과 통화스왑계약 체결	한국은행 국제국 국제기획팀 	20050525
주가·환율 등 금융시장 안정대책	재정경제원 금융정책실 금융정책과 	19971030
추경에 따른 국고채 시장 안정화 방안	기획재정부 국고국 국채과	20150703
중국인민은행과 별도 통화스왑계약 체결	한국은행 국제국 국제기획팀 	20081212
인도네시아와 통화스왑협정 체결	재정경제부 국제금융국 외화자금과	20031223
제83차 대외경제장관회의: 해외건설 활성화 방안 논의	기획재정부 대외경제국 대외경제총괄과	20100115
제3차 해외건설진흥기본계획&#40;2015~2019&#41;	국토교통부 건설정책국 해외건설정책과	20151022
해외건설 지원 종합대책	기획재정부 지역경제정책과	20080704
콜시장 효율화 방안	재정경제원 금융정책실 자금시장과	19960718
국제행사 개최 승인 심사제도 개선	기획재정부 정책조정국 서비스경제과	20131210
통화정책방향 : 기준금리 1.25% 유지	한국은행 통화정책국 정책총괄팀	20161215
건전성 규제 선진화 방안	금융위원회 금융정책국 금융정책과	20151029
해외 플랜트· 건설· 정보인프라 참여 확대 방안	재정경제부 경제협력국 개발협력과 	20041215
한국-인도네시아 양자 통화스왑 체결	기획재정부 국제금융정책국 지역금융과	20131013
한국-말레이시아 양자 통화스왑 체결	기획재정부 국제금융정책국 지역금융과 	20131020
한국-UAE 양자 통화스왑 체결	기획재정부 국제금융정책국 지역금융과	20131013
한국-호주 양자 통화스왑 체결	한국은행 국제국 국제금융선진화팀	20140223
플랜트 수출 확대 및 경쟁력 제고 방안	산업자원부 무역투자정책본부 수출입팀	20090723
외화대출연계 통화스왑거래 시행방안	한국은행 국제국 국제기획팀	20050615
2015년 국고채 발행 계획 및 시장 선진화 방안	기획재정부 국고국 국채과	20141223
필리핀 중앙은행과 통화스왑계약 체결	한국은행 국제국 국제기획팀	20051018
몰도바 중앙은행과의 금융협력 MOU 체결	금융위원회 금융정책국 글로벌금융과	20140120
콜시장제도 개선방안	재무부 증권국 자금시장과	19911224
AIIB 출범에 따른 아시아 인프라 시장 진출 활성화 방안	기획재정부 국제금융정책국 지역금융과	20160225
경기 회복 및 지속 성장을 위한 내수기반 확충 방안 마련	기획재정부 정책조정국 서비스경제과	20090916
해외 프로젝트 수주 확대를 위한 금융조달 여건 개선방안	기획재정부 대외경제국 국제경제과 	20110809
몽골 금융당국과 MOU 체결 및 해외금융협력협의회 구성	금융위원회 금융정책국 글로벌금융과	20110904
금융중심지의 조성과 발전에 관한 기본계획 &#40;2014~2016&#41;	금융위원회 금융정책국 글로벌금융과 	20141001
금융지주 경쟁력 강화를 위한 제도개선 방안	금융위원회 금융정책국 금융제도팀	20150622
금융중심지의 조성과 발전에 관한 기본계획안&#40;2008~2010년&#41;	금융위원회 금융정책국 글로벌금융과	20080630
창조경제 구현과 일자리창출을 위한 금융업 경쟁력 강화방안	금융위원회 금융정책국	20131127
금융중심지의 조성과 발전에 관한 기본계획 &#40;2011~2013&#41;	금융위원회 금융정책국 국제협력팀 	20110908
외환제도 개혁계획 수정방안&#40;2단계 외환제도 개혁계획&#41;	재정경제원 금융정책실 국제금융담당관실 	19951202
’94  해외직접투자 확대방안	재무부 국제금융국 해외투자과	19940127
주식연계 해외증권 발행제도 개선	재정경제원 금융정책실 증권제도담당관실	19950526
한국-인도네시아, 채권시장모델 전수	재정경제부 경제협력국 개발협력과	20060330
일자리 창출을 위한 녹색 뉴딜&#40;New Deal&#41; 사업 추진방안	기획재정부	20090106
하반기 재정집행 활성화 방안	기획예산처 재정기획국 재정정책과	20010713
재정관리제도 혁신방안	재정경제부 국고국 회계제도과	19990809
한·인도 경제협력 방안	기획재정부 대외경제국 개발협력과	20110118
기술금융 체계화 및 제도 개선 방안	금융위원회 금융정책국 산업금융과	20150608
2012년 지역경제 활성화 방안	기획재정부 정책조정국 지역경제정책과	20120919
한-터키 경제협력 방향	기획재정부 대외경제국 대외경제총괄과	20120223
기업활동과 관련된 해외자금 공급 확대	재정경제원 금융정책실 국제금융담당관실	19961017
남아시아와의 경제협력 활성화 방안	기획재정부 대외경제국 국제경제과	20110910
우리 기업의 해외금융 원활화 방안	통상산업부 산업정책국 산업정책과	19970805
신경제 5개년계획 - 재정개혁부문	경제기획원 예산실 예산총괄과	19930630
해외플랜트 수주 지원시책	산업자원부 무역투자정책본부 수출입팀	20060321
중동지역 진출 종합대책	산업자원부 무역투자정책본부 국제협력팀	20060912
채권시장 개방확대 방안	재정경제원 금융정책실 증권제도담당관실	19971223
해외증권발행규정 폐지	증권감독원 기업재무국	19980613
해외플랜트 수주동향 및 지원시책	산업자원부 무역투자정책본부 수출입팀	20070418
기금제도 개혁 추진	기획예산처 예산관리국 관리총괄과	20011231
국가재난 및 안전관리를 위한 민간보험의 역할 강화 추진	금융위원회 금융서비스국 보험과 	20140826
통화정책 운영체계 개편 방안	한국은행 정책기획국 정책조사팀	20071204
기금제도 개선 방안	기획예산처 정부개혁실 개혁기획팀	19990629
외국인의 유가증권 투자제도 개선	금융감독원 자본시장국	19991130
해외증권투자펀드 활성화를 통한 외환수급 안정도모	재정경제부 국제금융국 국제금융과	19991208
보험권 국제회계기준 도입준비단 출범	금융감독원 보험계리실 계리팀	20070521
보험 국제회계기준 2단계 연착륙방안	금융위원회 금융서비스국 보험과	20150330
기아관련 금융시장안정대책	재정경제원 금융정책실 금융정책과	19970716
국고보조금 부정수급 종합대책	기획재정부 재정관리국 재정관리총괄과	20141204
금융시장 안정 및 대외신인도 제고대책	재정경제원 금융정책실 금융정책과	19970826
금융감독 선진화 로드맵	금융감독위원회 기획과	20071019
해외증시 상장을 통한 해외직접금융 활성화방안 추진	금융감독원 자본시장감독실 주식시장팀	20020610
경제의식개혁 추진방안	경제기획원 경제교육기획국 경제교육기획과	19940111
해외투자 촉진방안	재정경제부 국제금융국 외화자금과	20060106
해외증권 발행공시제도 개선 추진	금융감독원 공시감독국 기업금융제도팀	20060419
1992년 제12차 시·도경제협의회	경제기획원 경제기획국 동향분석과	19920131
1992년 제13차 시·도경제협의회	경제기획원 경제기획국 지역투자계획과	19920903
1993년 제14차 시·도경제협의회	경제기획원 경제기획국 지역투자계획과	19931119
1994년 제15차 시·도경제협의회	경제기획원 경제기획국 지역과	19940221
1995년 제16차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19950307
1995년 제17차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19950922
1996년 제18차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19960229
1996년 제19차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19961212
1997년 제20차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19970122
1997년 제21차 시·도경제협의회	재정경제원 경제정책국 지역경제과	19970527
경제장관·시도지사 합동회의	재정경제부 경제정책국 종합정책과 	19981028
경제장관·시도지사 합동회의	재정경제부 경제정책국 조정2과	20000601
2005년 시·도경제협의회	재정경제부 정책조정국 지역경제정책과	20050126
2008년 제1차 시·도경제협의회	재정경제부 정책조정국 지역경제정책과	20080918
2009년 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20090921
2010년 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20100827
2011년 1차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20110415
2011년 2차  시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20110722
2011년 3차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20111118
2012년 1차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20120203
2012년 2차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20120604
2012년 3차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20121109
2013년 1차 시·도경제협의회	기획재정부 정책조정국 지역경제정책과	20130627
